summarize
   i	            dataType	codeVer	  nNeurons	   param 1	   param 2	   param 3	   param 4
   1	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
   2	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
   3	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
   4	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
   5	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
   6	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
   7	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
   8	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
   9	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
  10	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
  11	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
  12	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
  13	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
  14	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
  15	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
  16	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
  17	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
  18	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
  19	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
  20	    multineuron_sine	ver1	        10	       NaN	       NaN	       NaN	       NaN
  21	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  22	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  23	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  24	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  25	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  26	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  27	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  28	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  29	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  30	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  31	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  32	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  33	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  34	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  35	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
  36	    multineuron_sine	ver1	        20	       NaN	       NaN	       NaN	       NaN
